rider,gender,price,team
Georgia Bullard,Women,3,Doltcini-O'Shea
Grace Lister,Women,4,Hess Cycling
Grace Reynolds,Women,1,BrotherUK OnForm
Grace Ward,Women,2,BrotherUK OnForm
Holly Ramsay,Women,3,Hess Cycling
Imogen Cotter,Women,3,Hess Cycling
Imogen Wolff,Women,4,Shibden Hope Tech Apex
Jayati Hine,Women,4,Loughborough Lightning
Katy Hill,Women,2,London Academy
Kiera Bond,Women,3,Alba Development
Lily Brindle,Women,1,BrotherUK OnForm
Maddie Heywood,Women,4,ProNoctis-200 Degrees-Hargreaves Contracting
Madeleine Gammons,Women,1,BrotherUK OnForm
Mathilde Pauls,Women,1,Doltcini-O'Shea
Megan Anderson,Women,1,Team Boompods
Millie Jenkins,Women,1,Liv CC-Halo Films
Molly Patch,Women,2,The Phoenix Collective
Morgan Newberry,Women,1,Loughborough Lightning
Olivia French,Women,2,StolenGoat
Rachel Galler,Women,2,Saint Piran WRT
Rebecca Babbage,Women,2,Wolfox x Pedal Mafia CAMS
Ruby Oakes,Women,2,Shibden Hope Tech Apex
Skye Davidson,Women,1,Jaden Vive le Velo
Sophie Lewis,Women,3,Das-Hutchinson-BrotherUK
Sophie Thackray,Women,3,Das-Hutchinson-BrotherUK
Zoe Langham,Women,5,ProNoctis-200 Degrees-Hargreaves Contracting
Geoge Kimber,Men,4,Spirit TBW Stuart Hall Cycling
Jacob Locke,Men,1,Wold Top The Edge-Pactimo
Harry Birchill,Men,5,Saint Piran
Matthew Lock,Men,2,Taap-Kalas
Josh Housley,Men,3,Huub BCC
Jordan Giles,Men,5,Richardson-Trek-Das
Joshua Ravn,Men,2,Wold Top The Edge-Pactimo
Dan Galpin,Men,2,Huub BCC
Thomas Armstrong,Men,3,Wheelbase Cabtech Castelli
Lucy Benezet-Minns,Women,1,Tofauti Everyone Active
Amy Drysdale,Women,1,Team Boompods
Lizi Brooke,Women,4,ProNoctis-200 Degrees-Hargreaves Contracting
Jessica Finney,Women,5,Doltcini-O'Shea
Rebecca Gardiner,Women,1,Tofauti Everyone Active
Lydia Watts,Women,4,The Phoenix Collective
Evie Smith,Women,1,Shibden Hope Tech Apex
Alice Colling,Women,1,Shibden Hope Tech Apex
Alice Lethbridge,Women,2,Loughborough Lightning
