season,race_id,gc_position,rider_id,stage,bib_number,team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
2023,677,74,49071,GC,163,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,75,87353,GC,101,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,76,59700,GC,146,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,77,116513,GC,173,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,78,167226,GC,142,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,79,43924,GC,92,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,80,110398,GC,125,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,81,8517,GC,165,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,82,77092,GC,114,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,83,187532,GC,124,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,84,33706,GC,133,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,85,54571,GC,122,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,86,110950,GC,36,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,87,104675,GC,181,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,88,43886,GC,135,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,56640,GC,6,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43956,GC,1,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,206316,GC,115,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,191957,GC,111,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,190260,GC,113,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,192894,GC,116,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,180405,GC,172,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,48974,GC,25,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,73685,GC,132,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,112501,GC,95,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,65143,GC,96,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,25098,GC,45,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,33675,GC,43,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,82655,GC,73,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43879,GC,75,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,35763,GC,71,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43917,GC,121,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,206317,GC,126,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,196753,GC,123,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,50717,GC,16,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,72957,GC,104,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,61823,GC,105,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,45420,GC,102,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,123101,GC,84,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43913,GC,82,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,196729,GC,86,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,56001,GC,83,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,43900,GC,55,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,181009,GC,155,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,72926,GC,152,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,88476,GC,184,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,111672,GC,62,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,78072,GC,66,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,6567,GC,141,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,206318,GC,144,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,196728,GC,143,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,74618,GC,206,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
2023,677,DNF,30063,GC,195,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
