,Unnamed: 0,Event_ID,Event_Title,Event_Date,Event_Day,Event_Type,Race_Date,Race_Time,Race_Name,Race_Classification,Race_Band,Race_Category
21,21,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:30,Junior Men,Non-Ranking,,Junior
22,22,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:30,Veteran Men 40-49,Non-Ranking,,Vet 40-49
23,23,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:15,Veteran Women 40-49,Non-Ranking,,Vet 40-49
24,24,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:15,Veteran Men 50-59,Non-Ranking,,Vet 50-59
25,25,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:15,Veteran Women 50-59,Non-Ranking,,Vet 50-59
26,26,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:15,Veteran Men 60+,Non-Ranking,,Vet 60+
27,27,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:15,Veteran Women 60+,Non-Ranking,,Vet 60+
28,28,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Junior Women,Non-Ranking,,Junior
29,29,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Youth U14 Boys,Non-Ranking,,Youth U14
30,30,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Youth U14 Girls,Non-Ranking,,Youth U14
31,31,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Youth U16 Boys,Non-Ranking,,Youth U16
32,32,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Youth U16 Girls,Non-Ranking,,Youth U16
33,33,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,10:30,Under 12's,Under 12,,Under 12
34,34,236040,Leicestershire Cyclo-Cross League Rd 2 (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,10:00,Under 9's,Under 12,,Under 12
36,36,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,13:00,Adult Race #1,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women, Youth"
37,37,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:30,Adult Race #2,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women, Youth"
38,38,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:00,U16 Boys,Non-Ranking,,Youth U16
39,39,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:00,U16 Girls,Non-Ranking,,Youth U16
40,40,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:00,U14 Boys,Non-Ranking,,Youth U14
41,41,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:00,U14 Girls,Non-Ranking,,Youth U14
42,42,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Under 12 Boys,Under 12,,Under 12
43,43,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Under 12 Girls,Under 12,,Under 12
44,44,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Under 10 Boys,Under 12,,Under 12
45,45,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:00,Under 10 Girls,Under 12,,Under 12
46,46,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,10:30,Under 8 Boys,Under 12,,Under 12
47,47,236497,Wheal velocity Scorrier House Cyclocross (Cancelled),03/01/21,Sun,Cyclo-Cross,3 Jan 21,10:30,Under 8 Girls,Under 12,,Under 12
49,49,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,09:15,V50+ Men,Non-Ranking,,"Vet 50-59, Vet 60+"
50,50,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,10:30,Youth U14 Boys & Girls Race,Non-Ranking,,Youth U14
51,51,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,10:30,Youth U16 Boys & Girls Race,Non-Ranking,,Youth U16
52,52,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:15,Under 12 Boys & Girls,Under 12,,Under 12
53,53,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,11:15,Under 10 Boys & Girls,Non-Ranking,,Youth
54,54,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,12:00,V40-49 Men,Non-Ranking,,Vet 40-49
55,55,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,13:20,Junior Men,Non-Ranking,,Junior
56,56,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,13:21,"Elite Women, U23 Women, Junior Women, V40-49 Women, V50+ Women",Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50-59, Vet 60+"
57,57,236608,Challenge Tires London and South East CX League - Cyclopark 2,03/01/21,Sun,Cyclo-Cross,3 Jan 21,14:35,Elite Men & U23 Men,Non-Ranking,,"Senior, Under 23"
59,59,237191,"2020-2021 UCI Cyclo-cross World Cup, Hulst (UCI/CDM)",03/01/21,Sun,Cyclo-Cross,3 Jan 21,01:00,Elite Men,International,,
60,60,237191,"2020-2021 UCI Cyclo-cross World Cup, Hulst (UCI/CDM)",03/01/21,Sun,Cyclo-Cross,3 Jan 21,01:00,Elite Women,International,,
62,62,235724,Manchester Regional Track League First Division 2021 #1 (Cancelled),08/01/21,Fri,Track League,8 Jan 21,19:30,J1/2/3/4/W,Regional C,,"1st, 2nd, 3rd, 4th"
63,63,235724,Manchester Regional Track League First Division 2021 #1 (Cancelled),08/01/21,Fri,Track League,8 Jan 21,19:30,U16/U14(Min 14),Youth Only,,"A, B"
65,65,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,9 Jan 21,10:00,Youth 14/16 Female,Go-Ride Racing,,"Youth U14, Youth U16"
66,66,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,9 Jan 21,11:30,Youth 14/16 Male,Go-Ride Racing,,"Youth U14, Youth U16"
67,67,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,9 Jan 21,12:30,U8,Go-Ride Racing,,Under 12
68,68,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,9 Jan 21,13:30,U10,Go-Ride Racing,,Under 12
69,69,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,9 Jan 21,14:30,U12,Go-Ride Racing,,Under 12
70,70,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,10 Jan 21,10:00,All Female,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50-59, Vet 60+"
71,71,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,10 Jan 21,11:30,S/J Male,Non-Ranking,,"Junior, Senior, Under 23"
72,72,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,10 Jan 21,13:00,Vet 40,Non-Ranking,,Vet 40-49
73,73,235728,No Nonsense Round 4 New (Cancelled),10/01/21,Sat,Cyclo-Cross,10 Jan 21,14:30,Vet 50,Non-Ranking,,"Vet 50-59, Vet 60+"
75,75,236873,Milton Cross Escaping the Lockdown (Cancelled),10/01/21,Sun,Cyclo-Cross,10 Jan 21,09:15,Under 10s,Under 12,,Under 12
76,76,236873,Milton Cross Escaping the Lockdown (Cancelled),10/01/21,Sun,Cyclo-Cross,10 Jan 21,10:00,Under 12s,Under 12,,Under 12
77,77,236873,Milton Cross Escaping the Lockdown (Cancelled),10/01/21,Sun,Cyclo-Cross,10 Jan 21,11:00,Youth,Non-Ranking,,Youth
78,78,236873,Milton Cross Escaping the Lockdown (Cancelled),10/01/21,Sun,Cyclo-Cross,10 Jan 21,12:15,Open 1 escaping lockdown,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women"
79,79,236873,Milton Cross Escaping the Lockdown (Cancelled),10/01/21,Sun,Cyclo-Cross,10 Jan 21,13:15,Open 2 escaping lockdown,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women"
80,80,236873,Milton Cross Escaping the Lockdown (Cancelled),10/01/21,Sun,Cyclo-Cross,10 Jan 21,14:15,Open 3 escaping lockdown,Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women"
82,82,237297,New Zealand Cycle Classic (UCI/2.2),17/01/21,Wed,Road,13 Jan 21,01:00,Stage 1 - TTT,Foreign National,,
83,83,237297,New Zealand Cycle Classic (UCI/2.2),17/01/21,Wed,Road,14 Jan 21,01:00,Stage 2,Foreign National,,
84,84,237297,New Zealand Cycle Classic (UCI/2.2),17/01/21,Wed,Road,15 Jan 21,01:00,Stage 3,Foreign National,,
85,85,237297,New Zealand Cycle Classic (UCI/2.2),17/01/21,Wed,Road,16 Jan 21,01:00,Stage 4,Foreign National,,
86,86,237297,New Zealand Cycle Classic (UCI/2.2),17/01/21,Wed,Road,17 Jan 21,01:00,Stage 5,Foreign National,,
87,87,237297,New Zealand Cycle Classic (UCI/2.2),17/01/21,Wed,Road,17 Jan 21,01:00,Final Classification,Foreign National,,
89,89,235757,Manchester Regional Track League First Division 2021 #2 (Cancelled),15/01/21,Fri,Track League,15 Jan 21,19:30,J1/2/3/4/W,Regional C,,"1st, 2nd, 3rd, 4th"
90,90,235757,Manchester Regional Track League First Division 2021 #2 (Cancelled),15/01/21,Fri,Track League,15 Jan 21,19:30,U16/U14(Min 14),Youth Only,,"A, B"
92,92,236547,Velo29 Winter Series 2021 Round 1 (Cancelled),16/01/21,Sat,Closed Circuit,16 Jan 21,12:00,2/3/4 Women,Regional C,,"2nd, 3rd, 4th"
93,93,236547,Velo29 Winter Series 2021 Round 1 (Cancelled),16/01/21,Sat,Closed Circuit,16 Jan 21,12:30,4th Cat only,Regional C,,4th
94,94,236547,Velo29 Winter Series 2021 Round 1 (Cancelled),16/01/21,Sat,Closed Circuit,16 Jan 21,13:00,E/1/2/3/4 Heat 1,Regional C,,"1st, 2nd, 3rd, 4th, Elite"
95,95,236547,Velo29 Winter Series 2021 Round 1 (Cancelled),16/01/21,Sat,Closed Circuit,16 Jan 21,14:00,E/1/2/3/4 Heat 2,Regional C,,"1st, 2nd, 3rd, 4th, Elite"
97,97,237298,Lampiris Zilvermeercross (UCI/C1),16/01/21,Sat,Cyclo-Cross,16 Jan 21,01:00,Elite Men,International,,
98,98,237298,Lampiris Zilvermeercross (UCI/C1),16/01/21,Sat,Cyclo-Cross,16 Jan 21,01:00,Elite Women,International,,
100,100,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,09:15,U8 & U10,Under 12,,Under 12
101,101,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,09:45,U12,Under 12,,Under 12
102,102,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,10:30,U16,Non-Ranking,,Youth U16
103,103,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,10:32,U14,Non-Ranking,,Youth U14
104,104,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:30,Vet. 40+ Men,Non-Ranking,,Vet 40-49
105,105,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,12:45,"Women (Jun, Sen, Vet)",Non-Ranking,,"Junior, Senior, Veteran, Women"
106,106,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,14:00,Vet.50+ Men,Non-Ranking,,Vet 50+
107,107,235121,Crow Cross- Parentini Wessex League Round 6 (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,15:15,Senior & Junior Men,Non-Ranking,,"Junior, Senior"
109,109,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,14:35,Elite Men & U23 Men,Non-Ranking,,"Senior, Under 23"
110,110,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,13:20,Junior Men,Non-Ranking,,Junior
111,111,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,12:00,V40-49 Men,Non-Ranking,,Vet 40-49
112,112,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,09:15,V50-59 Men,Non-Ranking,,Vet 50-59
113,113,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,13:21,"Elite Women, U23 Women, Junior Women, V40-49 Women, V50-59 Women",Non-Ranking,,"Junior, Senior, Under 23, Vet 40-49, Vet 50-59"
114,114,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,10:30,Youth Race U16 Boys & Girls and U14 Boys & Girls,Non-Ranking,,"Youth U14, Youth U16"
115,115,236350,East Kent Cyclo Cross League Round 5 #LyddenHillCross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:15,Under 12 Boys & Girls,Under 12,,Under 12
117,117,236519,NW Youth B & Northern Junior Male Track Championships (Cancelled),17/01/21,Sun,Track,17 Jan 21,15:00,Junior Male Omnium,Regional C,,Junior
118,118,236519,NW Youth B & Northern Junior Male Track Championships (Cancelled),17/01/21,Sun,Track,17 Jan 21,15:00,Youth B Boys Omnium,Youth Only,,B
119,119,236519,NW Youth B & Northern Junior Male Track Championships (Cancelled),17/01/21,Sun,Track,17 Jan 21,15:00,Youth B Girls Omnium,Youth Only,,B
121,121,236846,Muddy Monsters North Cambs - Velouse Flyers (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:00,Under 8y Sprint & Endurance,Go-Ride Racing,,
122,122,236846,Muddy Monsters North Cambs - Velouse Flyers (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:45,Under 10y Sprint & Endurance clone,Go-Ride Racing,,
123,123,236846,Muddy Monsters North Cambs - Velouse Flyers (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,12:30,Under 12y Sprint & Endurance,Go-Ride Racing,,
124,124,236846,Muddy Monsters North Cambs - Velouse Flyers (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,13:15,Under 14y Sprint & Endurance,Go-Ride Racing,,
126,126,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,01:00,U16 Girls race,Non-Ranking,,Youth U16
127,127,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,01:00,U8 Girls Race,Under 12,,Under 12
128,128,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:00,U10 Boys Race,Under 12,,Under 12
129,129,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:00,U10 Girls Race,Under 12,,Under 12
130,130,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:00,U12 Boys Race,Under 12,,Under 12
131,131,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:00,U12 Girls Race,Under 12,,Under 12
132,132,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,11:00,U8 Boys Race,Under 12,,Under 12
133,133,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,12:00,U14 Boys Race,Non-Ranking,,Youth U14
134,134,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,12:00,U14 Girls Race,Non-Ranking,,Youth U14
135,135,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,12:00,U16 Boys,Non-Ranking,,Youth U16
136,136,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,13:00,Adult Race 1,Non-Ranking,,"Junior, Vet 50+, Vet 50-59, Vet 60+, Veteran, Women"
137,137,237049,Torbay Velopark Resolution Cross (Cancelled),17/01/21,Sun,Cyclo-Cross,17 Jan 21,14:30,Adult Race 2,Non-Ranking,,"Senior, Vet 40-49"
139,139,235759,Manchester Regional Track League First Division 2021 #3 (Cancelled),22/01/21,Fri,Track League,22 Jan 21,19:30,J1/2/3/4/W,Regional C,,"1st, 2nd, 3rd, 4th"
140,140,235759,Manchester Regional Track League First Division 2021 #3 (Cancelled),22/01/21,Fri,Track League,22 Jan 21,19:30,U16/U14(Min 14),Youth Only,,"A, B"
142,142,236548,Velo29 Winter Series 2021 Round 2 (Cancelled),23/01/21,Sat,Closed Circuit,23 Jan 21,12:00,2/3/4 Women,Regional C,,"2nd, 3rd, 4th"
143,143,236548,Velo29 Winter Series 2021 Round 2 (Cancelled),23/01/21,Sat,Closed Circuit,23 Jan 21,12:30,4th Cat only,Regional C,,4th
144,144,236548,Velo29 Winter Series 2021 Round 2 (Cancelled),23/01/21,Sat,Closed Circuit,23 Jan 21,13:00,E/1/2/3/4 Heat 1,Regional C,,"1st, 2nd, 3rd, 4th, Elite"
145,145,236548,Velo29 Winter Series 2021 Round 2 (Cancelled),23/01/21,Sat,Closed Circuit,23 Jan 21,14:00,E/1/2/3/4 Heat 2,Regional C,,"1st, 2nd, 3rd, 4th, Elite"
147,147,236813,NSR 1 Manchester (Cancelled),24/01/21,Sat,MTB XC,23 Jan 21,10:00,Boys Coaching Session,Youth Only,,Youth
148,148,236813,NSR 1 Manchester (Cancelled),24/01/21,Sat,MTB XC,23 Jan 21,10:00,Girls Coaching Session,Youth Only,,Youth
150,150,237299,X²0 badkamers Trofee - Flandriencross (UCI/C1),23/01/21,Sat,Cyclo-Cross,23 Jan 21,01:00,Elite Men,International,,
151,151,237299,X²0 badkamers Trofee - Flandriencross (UCI/C1),23/01/21,Sat,Cyclo-Cross,23 Jan 21,01:00,Elite Women,International,,
153,153,236525,NW Youth A & Northern Junior Female Track Champs (Cancelled),24/01/21,Sun,Track,24 Jan 21,15:00,Junior Female Omnium,Regional C,,Junior
154,154,236525,NW Youth A & Northern Junior Female Track Champs (Cancelled),24/01/21,Sun,Track,24 Jan 21,15:00,Youth A Boys Omnium,Youth Only,,A
155,155,236525,NW Youth A & Northern Junior Female Track Champs (Cancelled),24/01/21,Sun,Track,24 Jan 21,15:00,Youth A Girls Omnium,Youth Only,,A
157,157,237296,Clàssica Comunitat Valenciana 1969 - Gran Premio Valencia (UCI/1.2),24/01/21,Sun,Road,24 Jan 21,01:00,Elite Men,Foreign National,Band 2,"1st, 2nd, Elite"
159,159,237300,"2020-2021 UCI Cyclo-cross World Cup, Overijse (UCI/CDM)",24/01/21,Sun,Cyclo-Cross,24 Jan 21,01:00,Elite Men,International,,
160,160,237300,"2020-2021 UCI Cyclo-cross World Cup, Overijse (UCI/CDM)",24/01/21,Sun,Cyclo-Cross,24 Jan 21,01:00,Elite Women,International,,
162,162,235761,Manchester Regional Track League First Division 2021 #4 (Cancelled),29/01/21,Fri,Track League,29 Jan 21,19:30,J1/2/3/4/W,Regional C,,"1st, 2nd, 3rd, 4th"
163,163,235761,Manchester Regional Track League First Division 2021 #4 (Cancelled),29/01/21,Fri,Track League,29 Jan 21,19:30,U16/U14(Min 14),Youth Only,,"A, B"
165,165,236549,Velo29 Winter Series 2021 Round 3 (Cancelled),30/01/21,Sat,Closed Circuit,30 Jan 21,12:00,2/3/4 Women,Regional C,,"2nd, 3rd, 4th"
166,166,236549,Velo29 Winter Series 2021 Round 3 (Cancelled),30/01/21,Sat,Closed Circuit,30 Jan 21,12:30,4th Cat only,Regional C,,4th
167,167,236549,Velo29 Winter Series 2021 Round 3 (Cancelled),30/01/21,Sat,Closed Circuit,30 Jan 21,13:00,E/1/2/3/4 Heat 1,Regional C,,"1st, 2nd, 3rd, 4th, Elite"
168,168,236549,Velo29 Winter Series 2021 Round 3 (Cancelled),30/01/21,Sat,Closed Circuit,30 Jan 21,14:00,E/1/2/3/4 Heat 2,Regional C,,"1st, 2nd, 3rd, 4th, Elite"
170,170,237374,UCI Cyclo-cross World Championships (UCI/CM),31/01/21,Sat,Cyclo-Cross,31 Jan 21,01:00,Elite Men,International,,
171,171,237374,UCI Cyclo-cross World Championships (UCI/CM),31/01/21,Sat,Cyclo-Cross,30 Jan 21,01:00,Elite Women,International,,
172,172,237374,UCI Cyclo-cross World Championships (UCI/CM),31/01/21,Sat,Cyclo-Cross,30 Jan 21,01:00,Men U23,International,,
173,173,237374,UCI Cyclo-cross World Championships (UCI/CM),31/01/21,Sat,Cyclo-Cross,31 Jan 21,01:00,Women U23,International,,
175,175,237377,Grand Prix Cycliste la Marseillaise (UCI/1.1),31/01/21,Sun,Road,31 Jan 21,01:00,Elite Men,Foreign National,,
1,1,237378,Etoile de Bessèges - Tour du Gard (UCI/1.1),07/02/21,Wed,Road,3 Feb 21,01:00,Stage 1,Foreign National,,
2,2,237378,Etoile de Bessèges - Tour du Gard (UCI/1.1),07/02/21,Wed,Road,4 Feb 21,01:00,Stage 2,Foreign National,,
3,3,237378,Etoile de Bessèges - Tour du Gard (UCI/1.1),07/02/21,Wed,Road,5 Feb 21,01:00,Stage 3,Foreign National,,
4,4,237378,Etoile de Bessèges - Tour du Gard (UCI/1.1),07/02/21,Wed,Road,6 Feb 21,01:00,Stage 4,Foreign National,,
5,5,237378,Etoile de Bessèges - Tour du Gard (UCI/1.1),07/02/21,Wed,Road,7 Feb 21,01:00,Stage 5 - ITT,Foreign National,,
6,6,237378,Etoile de Bessèges - Tour du Gard (UCI/1.1),07/02/21,Wed,Road,7 Feb 21,01:00,Final Classification,Foreign Regional,,
8,8,235796,Manchester Regional Track League First Division 2021 #5 (Cancelled),05/02/21,Fri,Track League,5 Feb 21,19:30,J1/2/3/4/W,Regional C,,"1st, 2nd, 3rd, 4th"
9,9,235796,Manchester Regional Track League First Division 2021 #5 (Cancelled),05/02/21,Fri,Track League,5 Feb 21,19:30,U16/U14(Min 14),Youth Only,,"A, B"
11,11,236550,Velo29 Winter Series 2021 Round 4 (Cancelled),06/02/21,Sat,Closed Circuit,6 Feb 21,12:00,2/3/4 Women,Regional C,,"2nd, 3rd, 4th"
12,12,236550,Velo29 Winter Series 2021 Round 4 (Cancelled),06/02/21,Sat,Closed Circuit,6 Feb 21,12:30,4th Cat only,Regional C,,4th
