,Unnamed: 0,Event_ID,Event_Title,Event_Date,Event_Day,Event_Type,Race_Date,Race_Time,Race_Name,Race_Classification,Race_Band,Race_Category
56,56,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 34 - Women Scratch,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
57,57,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 35 - Open Scratch,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
58,58,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,01:00,Event 36 - B Girls Scratch,Youth Only,Band 5 (<10 Entrants),"A, B, C, D, E, N/A"
59,59,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 37 - Youth B Girls Scratch Race,Youth Only,Band 5 (<10 Entrants),B
60,60,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 38 - Youth B Girls Elimination Race,Youth Only,Band 5 (<10 Entrants),"A, B"
61,61,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 39 - Youth B Girls Points Race,Youth Only,Band 5 (<10 Entrants),B
62,62,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 40 - Youth C Girl Scratch,Youth Only,,C
63,63,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 41 - Youth C Girls Scratch Race,Youth Only,,C
64,64,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 42 - Youth C Girls Elimination Race,Youth Only,,C
65,65,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 43 - Youth C Girls Points,Youth Only,,C
66,66,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,11:00,Female 4km Team Pursuit (2 efforts),Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
67,67,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,11:00,Female 500m TT (2 efforts),Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
68,68,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,11:00,Open 1km TT (1 effort),Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
69,69,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,11:00,Open 4km Individual Pursuit (2 efforts),Regional C,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
70,70,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,11:00,Open 4km Team Pursuit (2 efforts),Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
71,71,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Open Entry - Overall entry for all 4 Round 1 races,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior"
72,72,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Open Entry - Overall entry for all 4 Round 1 races (1),Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite"
73,73,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,11:00,Female 3km Individual Pursuit (2 efforts),Regional C,,"1st, 2nd, 3rd, 4th, Elite, Junior, N/A"
74,74,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Women's entry - Overall entry for all 4 events (1),Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite"
75,75,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth A Boys - Overall entry for all 4 Round 1 races (1),Youth Only,Band 5,A
76,76,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth B Boys - Overall entry for all 4 Round 1 races (1),Youth Only,Band 5,B
77,77,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth B Girls - Overall entry for all 4 Round 1 races (1),Youth Only,Band 5,B
78,78,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Women's entry - Overall entry for all 4 events,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Elite, Junior"
79,79,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth C Boys - Overall entry for all 4 Round 1 races (1),Youth Only,,C
80,80,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth A Boys - Overall entry for all 4 Round 1 races,Youth Only,Band 5,A
81,81,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth A Girls - Overall entry for all 4 Round 1 races,Youth Only,Band 5,A
82,82,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 5b - B Girls Points,Youth Only,Band 5,"A, B"
83,83,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth B Boys - Overall entry for all 4 Round 1 races,Youth Only,Band 5,B
84,84,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 13a - Youth C Boys Scratch,Youth Only,Band 5,"A, B"
85,85,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth C Boys - Overall entry for all 4 Round 1 races,Youth Only,,C
86,86,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Youth C Girls - Overall entry for all 4 Round 1 races,Youth Only,,C
87,87,286977,Monsters of Track - Round 1,06/01/24,Sat,Track,6 Jan 24,12:00,Event 17b - Youth B Girl Scratch,Youth Only,Band 5,B
89,89,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,10:31,Under 14 Female Trophy,Category A,CX Band 4,Youth U14
90,90,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,12:45,Under 14 Open Trophy,Category A,CX Band 4,Youth U14
91,91,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,10:30,Under 16 Female Trophy,Category A,CX Band 4,Youth U16
92,92,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,13:45,Under 16 Open Trophy,Category A,CX Band 4,Youth U16
93,93,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,6 Jan 24,10:15,Junior Female Trophy,Category A,CX Band 4,Junior
94,94,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,6 Jan 24,11:15,Senior / U23 Female Trophy,Category A,CX Band 3,"Senior, Vet 40-49, Vet 50-59"
95,95,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,09:30,Veteran 40-49 Female Trophy,Category A,CX Band 4,Vet 40-49
96,96,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,09:31,Veteran 50-59 Female Trophy,Category A,CX Band 4,Vet 50-59
97,97,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,09:32,Veteran 60+ Female Trophy,Category A,CX Band 4,Vet 60+
98,98,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,6 Jan 24,09:15,Junior Trophy,Category A,CX Band 4,Junior
99,99,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,6 Jan 24,13:30,Senior / U23 Trophy,Category A,CX Band 3,"Senior, Vet 40-49, Vet 50-59"
100,100,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,7 Jan 24,14:45,Veteran 40-49 Open Trophy,Category A,CX Band 4,Vet 40-49
101,101,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,6 Jan 24,14:45,Veteran 50-59 Open Trophy,Category A,CX Band 4,Vet 50-59
102,102,290147,British Cycling Cyclo-cross National Trophy Series 2023/24 Round 6,07/01/24,Sat,Cyclo-Cross,6 Jan 24,14:46,Veteran 60+ Open Trophy,Category A,CX Band 4,Vet 60+
104,104,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Junior Scratch,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Junior, N/A"
105,105,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth B Open - Points (7.5km),Youth Only,Band 5,"A, B, C, D, E, N/A"
106,106,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Junior Elimination,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Junior, N/A"
107,107,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Junior Points,Regional C+,Band 5,"1st, 2nd, 3rd, 4th, Junior, N/A"
108,108,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth A Open - Scratch (6km),Youth Only,Band 5,"A, B, C, D, E, N/A"
109,109,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth A Open - Elimination,Youth Only,Band 5,"A, B, C, D, E, N/A"
110,110,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth A Open Points (10km),Youth Only,Band 5,"A, B, C, D, E, N/A"
111,111,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth A Girls - Scratch (5km),Youth Only,Band 5,"A, B, C, D, E, N/A"
112,112,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth A Girls - Elimination,Youth Only,Band 5,"A, B, C, D, E, N/A"
113,113,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth A Girls - Points (7.5km),Youth Only,Band 5,"A, B, C, D, E, N/A"
114,114,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth B Girls - Scratch (5km),Youth Only,Band 5 (<10 Entrants),"A, B, C, D, E, N/A"
115,115,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth B Girls - Elimination,Youth Only,Band 5 (<10 Entrants),"A, B, C, D, E, N/A"
116,116,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth B Girls - Points (7.5km),Youth Only,Band 5 (<10 Entrants),"A, B, C, D, E, N/A"
117,117,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth B Open - Scratch (5km),Youth Only,Band 5,"A, B, C, D, E, N/A"
118,118,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth B Open - Points (7.5km),Youth Only,Band 5,"A, B, C, D, E, N/A"
119,119,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,09:00,Youth C Open - Omnium,Youth Only,Band 5,"A, B, C, D, E, N/A"
120,120,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,14:30,Junior Female,Regional C+,,Junior
121,121,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,14:30,Open Junior,Regional C+,,Junior
122,122,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,14:30,U12 - Boys & Girls,Youth Only,,C
123,123,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,14:30,U14 - Open,Youth Only,,B
124,124,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,14:30,U16 - Open,Youth Only,,A
125,125,290696,London Youth Track League 2023-4: Open Meeting,06/01/24,Sat,Track,6 Jan 24,14:30,U16/U14 - Girls,Youth Only,,"A, B"
127,127,290902,Full Gas Winter Circuit Series Event #12,06/01/24,Sat,Closed Circuit,6 Jan 24,13:00,Masters 40+,Regional Masters C+,Band 5 (<10 Entrants),"1st, 2nd, 3rd, 4th, Elite"
128,128,290902,Full Gas Winter Circuit Series Event #12,06/01/24,Sat,Closed Circuit,6 Jan 24,13:00,Masters 50+,Regional Masters C+,Band 5 (<10 Entrants),"1st, 2nd, 3rd, 4th, Elite"
129,129,290902,Full Gas Winter Circuit Series Event #12,06/01/24,Sat,Closed Circuit,6 Jan 24,13:01,Women's Only E/1/2 Category,Regional C+,Band 5 (<10 Entrants),"1st, 2nd, Elite"
130,130,290902,Full Gas Winter Circuit Series Event #12,06/01/24,Sat,Closed Circuit,6 Jan 24,14:00,2/3/4 Category,Regional C+,Band 5,"2nd, 3rd, 4th"
132,132,294179,Mini Mayhem round 1,06/01/24,Sat,MTB XC,6 Jan 24,11:00,Mini Mayhem round 1,Go-MTB,,
134,134,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:00,Under 8 Girls,Under 12,,
135,135,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:10,Under 8 Boys,Under 12,,
136,136,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:00,Under 10 Girls,Under 12,,
137,137,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:30,Under 10 Boys,Under 12,,
138,138,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:00,Under 12 Girls,Under 12,,
139,139,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:50,Under 12 Boys,Under 12,,
140,140,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,10:36,Under 14s Girls,Category B,CX Band 5,Youth U14
141,141,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,10:36,Under 14s Open,Category B,CX Band 5,Youth U14
142,142,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,10:35,Under 16s Girls,Category B,CX Band 5,Youth U16
143,143,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,10:35,Under 16s Open,Category B,CX Band 5,Youth U16
144,144,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,12:30,Junior Women,Category B,CX Band 5,Junior
145,145,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,12:30,Senior and U23 Women,Category B,CX Band 5,"Senior, Vet 40-49, Vet 50-59, Vet 60+"
146,146,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,12:30,Vet 40-49 Women,Category B,CX Band 5,Vet 40-49
147,147,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,12:30,Vet 50-59 Women,Category B,CX Band 5,Vet 50-59
148,148,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,12:30,Vet 60+ Women,Category B,CX Band 5,Vet 60+
149,149,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,11:20,Junior Open,Category B,CX Band 5,Junior
150,150,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,14:45,Senior and U23 Open,Category B,CX Band 5,"Senior, Vet 40-49, Vet 50-59, Vet 60+"
151,151,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,11:20,Vet 40-49 Open,Category B,CX Band 5,Vet 40-49
152,152,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,13:45,Vet 50-59 Open,Category B,CX Band 5,"Vet 50-59, Vet 60+"
153,153,291258,Wessex Cyclocross League Round 8 - Andover Supercross,07/01/24,Sun,Cyclo-Cross,7 Jan 24,13:45,Vet 60+ Open,Category B,CX Band 5,Vet 60+
155,155,292277,Lincolnshire Cyclo-cross 2023/2024 Race#12 - Ellmore Factory Racing (Nettleham),07/01/24,Sun,Cyclo-Cross,7 Jan 24,11:00,Under 9 Boys & Girls,Go-Cross,,Under 12
156,156,292277,Lincolnshire Cyclo-cross 2023/2024 Race#12 - Ellmore Factory Racing (Nettleham),07/01/24,Sun,Cyclo-Cross,7 Jan 24,11:20,Under 12 Boys & Girls,Under 12,,Under 12
157,157,292277,Lincolnshire Cyclo-cross 2023/2024 Race#12 - Ellmore Factory Racing (Nettleham),07/01/24,Sun,Cyclo-Cross,7 Jan 24,10:15,Youth Girls U14,Category B,CX Band 5,Youth U14
158,158,292277,Lincolnshire Cyclo-cross 2023/2024 Race#12 - Ellmore Factory Racing (Nettleham),07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:00,Youth Boys U14,Category B,CX Band 5,Youth U14
159,159,292277,Lincolnshire Cyclo-cross 2023/2024 Race#12 - Ellmore Factory Racing (Nettleham),07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:00,Youth A Girls U16,Category B,CX Band 5,Youth U16
160,160,292277,Lincolnshire Cyclo-cross 2023/2024 Race#12 - Ellmore Factory Racing (Nettleham),07/01/24,Sun,Cyclo-Cross,7 Jan 24,09:00,Youth A Boys U16,Category B,CX Band 5,Youth U16
